timestamp,price,action,equity
2026-05-07 21:59:36,1.36517,SELL_SIGNAL_NO_POSITION,998870.36
2026-05-07 21:59:42,1.3652,NO_ACTION,998870.36
2026-05-07 21:59:50,1.3653,NO_ACTION,998870.36
2026-05-07 22:00:05,1.36545,SELL_SIGNAL_NO_POSITION,998870.36
2026-05-07 22:00:15,1.36545,NO_ACTION,998870.36
2026-05-07 22:00:22,1.36535,NO_ACTION,998990.17
2026-05-07 22:00:27,1.36537,NO_ACTION,998990.17
2026-05-07 22:00:33,1.3654,NO_ACTION,998990.17
2026-05-07 22:00:40,1.3654,NO_ACTION,998990.17
2026-05-07 22:00:46,1.36547,NO_ACTION,998990.17
2026-05-07 22:00:52,1.3655,NO_ACTION,998990.17
2026-05-07 22:00:58,1.3655,NO_ACTION,998990.17
2026-05-07 22:01:04,1.365515,NO_ACTION,998990.17
2026-05-07 22:01:10,1.36555,NO_ACTION,998990.17
2026-05-07 22:01:15,1.36555,NO_ACTION,998990.17
2026-05-07 22:01:22,1.36555,NO_ACTION,998990.17
2026-05-07 22:01:28,1.36555,NO_ACTION,998990.17
2026-05-07 22:01:34,1.36535,NO_ACTION,998990.17
2026-05-07 22:01:40,1.3654,NO_ACTION,998990.17
2026-05-07 22:01:47,1.36535,NO_ACTION,998990.17
2026-05-07 22:01:53,1.3654,NO_ACTION,998990.17
2026-05-07 22:02:02,1.3649,BUY,998934.2
2026-05-07 22:02:13,1.3651,NO_ACTION,998787.22
2026-05-07 22:02:21,1.36495,BUY,998787.22
2026-05-07 22:02:31,1.36495,NO_ACTION,998808.3
2026-05-07 22:02:39,1.3646,PANIC_SELL,998808.3
2026-05-07 22:02:47,1.36485,NO_ACTION,998654.9
2026-05-07 22:02:54,1.364925,NO_ACTION,998654.9
2026-05-07 22:03:00,1.36495,NO_ACTION,998654.9
2026-05-07 22:03:06,1.36502,RECOVERY_BUY,998654.9
2026-05-07 22:03:16,1.36495,NO_ACTION,998791.4
2026-05-07 22:03:23,1.36495,NO_ACTION,998791.4
2026-05-07 22:03:29,1.36495,NO_ACTION,998791.4
2026-05-07 22:03:36,1.365,NO_ACTION,998791.4
2026-05-07 22:03:43,1.3651,SELL,998791.4
2026-05-07 22:04:52,1.3649,NO_ACTION,998823.54
2026-05-07 22:05:02,1.364925,NO_ACTION,998751.63
2026-05-07 22:05:09,1.364915,NO_ACTION,998751.63
2026-05-07 22:05:18,1.365,NO_ACTION,998751.63
2026-05-07 22:05:25,1.36505,SELL_SIGNAL_NO_POSITION,998751.63
2026-05-07 22:05:34,1.365095,NO_ACTION,998751.63
2026-05-07 22:05:42,1.36508,NO_ACTION,998751.63
2026-05-07 22:05:50,1.365075,NO_ACTION,998751.63
2026-05-07 22:05:56,1.36505,NO_ACTION,998751.63
2026-05-07 22:06:04,1.36505,NO_ACTION,998751.63
2026-05-07 22:06:12,1.36505,NO_ACTION,998751.63
2026-05-07 22:06:20,1.36505,NO_ACTION,998751.63
2026-05-07 22:06:27,1.3651,NO_ACTION,998751.63
2026-05-07 22:06:34,1.3651,NO_ACTION,998751.63
2026-05-07 22:06:44,1.36515,NO_ACTION,998829.65
2026-05-07 22:06:52,1.36512,NO_ACTION,998829.65
2026-05-07 22:06:59,1.36512,NO_ACTION,998829.65
2026-05-07 22:07:07,1.36512,NO_ACTION,998829.65
2026-05-07 22:07:14,1.36513,NO_ACTION,998829.65
2026-05-07 22:07:22,1.36513,NO_ACTION,998829.65
2026-05-07 22:07:29,1.36513,NO_ACTION,998829.65
2026-05-07 22:07:36,1.36515,NO_ACTION,998829.65
2026-05-07 22:07:43,1.3651,NO_ACTION,998829.65
2026-05-07 22:07:51,1.3651,NO_ACTION,998829.65
2026-05-07 22:07:58,1.3651,NO_ACTION,998829.65
2026-05-07 22:08:05,1.365095,NO_ACTION,998829.65
2026-05-07 22:08:13,1.3651,NO_ACTION,998829.65
2026-05-07 22:08:20,1.36515,NO_ACTION,998829.65
2026-05-07 22:08:27,1.36515,NO_ACTION,998829.65
2026-05-07 22:08:34,1.3652,NO_ACTION,998829.65
2026-05-07 22:08:42,1.36525,SELL_SIGNAL_NO_POSITION,998829.65
2026-05-07 22:08:50,1.36525,NO_ACTION,998829.65
2026-05-07 22:08:57,1.3653,NO_ACTION,998829.65
2026-05-07 22:09:05,1.36525,NO_ACTION,998829.65
2026-05-07 22:09:14,1.3652,NO_ACTION,998829.65
2026-05-07 22:09:22,1.3652,NO_ACTION,998829.65
2026-05-07 22:09:31,1.3652,NO_ACTION,998829.65
2026-05-07 22:09:38,1.3652,NO_ACTION,998829.65
2026-05-07 22:09:46,1.3652,NO_ACTION,998863.65
2026-05-07 22:09:54,1.3652,NO_ACTION,998863.65
2026-05-07 22:10:01,1.36525,NO_ACTION,998863.65
2026-05-07 22:10:08,1.3652,NO_ACTION,998863.65
2026-05-07 22:10:15,1.36525,NO_ACTION,998863.65
2026-05-07 22:10:22,1.36525,NO_ACTION,998863.65
2026-05-07 22:10:30,1.3652,NO_ACTION,998863.65
2026-05-07 22:10:37,1.3652,NO_ACTION,998863.65
2026-05-07 22:10:44,1.3652,NO_ACTION,998863.65
2026-05-07 22:10:52,1.3652,NO_ACTION,998863.65
