timestamp,price,action,equity
2026-05-07 21:59:42,1.173435,NO_ACTION,998870.36
2026-05-07 21:59:50,1.173385,BUY,998870.36
2026-05-07 22:00:05,1.173345,NO_ACTION,998870.36
2026-05-07 22:00:15,1.173425,NO_ACTION,998870.36
2026-05-07 22:00:22,1.173425,NO_ACTION,998990.17
2026-05-07 22:00:27,1.173435,NO_ACTION,998990.17
2026-05-07 22:00:33,1.173425,NO_ACTION,998990.17
2026-05-07 22:00:40,1.173425,NO_ACTION,998990.17
2026-05-07 22:00:46,1.173445,NO_ACTION,998990.17
2026-05-07 22:00:52,1.17344,NO_ACTION,998990.17
2026-05-07 22:00:58,1.173445,NO_ACTION,998990.17
2026-05-07 22:01:04,1.1734,NO_ACTION,998990.17
2026-05-07 22:01:10,1.1734,NO_ACTION,998990.17
2026-05-07 22:01:15,1.173375,NO_ACTION,998990.17
2026-05-07 22:01:22,1.173365,NO_ACTION,998990.17
2026-05-07 22:01:28,1.173375,NO_ACTION,998990.17
2026-05-07 22:01:34,1.17343,NO_ACTION,998990.17
2026-05-07 22:01:40,1.1734,NO_ACTION,998990.17
2026-05-07 22:01:47,1.173385,NO_ACTION,998990.17
2026-05-07 22:01:53,1.17368,SELL,998990.17
2026-05-07 22:02:02,1.173885,NO_ACTION,998934.2
2026-05-07 22:02:13,1.17379,NO_ACTION,998787.22
2026-05-07 22:02:21,1.173925,NO_ACTION,998787.22
2026-05-07 22:02:31,1.174005,NO_ACTION,998808.3
2026-05-07 22:02:39,1.1742,SELL_SIGNAL_NO_POSITION,998808.3
2026-05-07 22:02:47,1.1743,NO_ACTION,998654.9
2026-05-07 22:02:54,1.17415,NO_ACTION,998654.9
2026-05-07 22:03:00,1.174115,NO_ACTION,998654.9
2026-05-07 22:03:06,1.17414,NO_ACTION,998654.9
2026-05-07 22:03:16,1.174225,NO_ACTION,998791.4
2026-05-07 22:03:23,1.1742,NO_ACTION,998791.4
2026-05-07 22:03:29,1.17418,NO_ACTION,998791.4
2026-05-07 22:03:36,1.1742,NO_ACTION,998791.4
2026-05-07 22:03:43,1.1742,NO_ACTION,998791.4
2026-05-07 22:04:52,1.17407,BUY,998823.54
2026-05-07 22:05:02,1.1741,NO_ACTION,998751.63
2026-05-07 22:05:09,1.174055,NO_ACTION,998751.63
2026-05-07 22:05:18,1.174025,NO_ACTION,998751.63
2026-05-07 22:05:25,1.173965,NO_ACTION,998751.63
2026-05-07 22:05:34,1.17402,NO_ACTION,998751.63
2026-05-07 22:05:42,1.17405,NO_ACTION,998751.63
2026-05-07 22:05:50,1.174115,NO_ACTION,998751.63
2026-05-07 22:05:56,1.1741,NO_ACTION,998751.63
2026-05-07 22:06:04,1.17408,NO_ACTION,998751.63
2026-05-07 22:06:12,1.174085,NO_ACTION,998751.63
2026-05-07 22:06:20,1.173995,NO_ACTION,998751.63
2026-05-07 22:06:27,1.17403,NO_ACTION,998751.63
2026-05-07 22:06:34,1.173895,PANIC_SELL,998751.63
2026-05-07 22:06:44,1.17395,NO_ACTION,998829.65
2026-05-07 22:06:52,1.17395,NO_ACTION,998829.65
2026-05-07 22:06:59,1.17395,NO_ACTION,998829.65
2026-05-07 22:07:07,1.173895,NO_ACTION,998829.65
2026-05-07 22:07:14,1.17395,NO_ACTION,998829.65
2026-05-07 22:07:22,1.17392,NO_ACTION,998829.65
2026-05-07 22:07:29,1.173895,NO_ACTION,998829.65
2026-05-07 22:07:36,1.173915,NO_ACTION,998829.65
2026-05-07 22:07:43,1.173915,NO_ACTION,998829.65
2026-05-07 22:07:51,1.17395,NO_ACTION,998829.65
2026-05-07 22:07:58,1.17395,NO_ACTION,998829.65
2026-05-07 22:08:05,1.173895,NO_ACTION,998829.65
2026-05-07 22:08:13,1.17388,NO_ACTION,998829.65
2026-05-07 22:08:20,1.173875,NO_ACTION,998829.65
2026-05-07 22:08:27,1.17389,NO_ACTION,998829.65
2026-05-07 22:08:34,1.17388,NO_ACTION,998829.65
2026-05-07 22:08:42,1.173815,NO_ACTION,998829.65
2026-05-07 22:08:50,1.17379,NO_ACTION,998829.65
2026-05-07 22:08:57,1.173795,NO_ACTION,998829.65
2026-05-07 22:09:05,1.17381,NO_ACTION,998829.65
2026-05-07 22:09:14,1.173795,NO_ACTION,998829.65
2026-05-07 22:09:22,1.17381,NO_ACTION,998829.65
2026-05-07 22:09:31,1.17385,NO_ACTION,998829.65
2026-05-07 22:09:38,1.173825,NO_ACTION,998829.65
2026-05-07 22:09:46,1.17385,NO_ACTION,998863.65
2026-05-07 22:09:54,1.17385,NO_ACTION,998863.65
2026-05-07 22:10:01,1.17385,NO_ACTION,998863.65
2026-05-07 22:10:08,1.17385,NO_ACTION,998863.65
2026-05-07 22:10:15,1.17385,NO_ACTION,998863.65
2026-05-07 22:10:22,1.173885,NO_ACTION,998863.65
2026-05-07 22:10:30,1.17395,NO_ACTION,998863.65
2026-05-07 22:10:37,1.17385,NO_ACTION,998863.65
2026-05-07 22:10:44,1.1739,NO_ACTION,998863.65
2026-05-07 22:10:52,1.173875,NO_ACTION,998863.65
