date,open,high,low,close,volume,average,barCount
2026-05-11 17:15:00-04:00,1.3677,1.367835,1.367645,1.36765,-1.0,-1.0,-1
2026-05-11 17:15:05-04:00,1.36765,1.36765,1.367625,1.367635,-1.0,-1.0,-1
2026-05-11 17:15:10-04:00,1.367635,1.367635,1.36763,1.367635,-1.0,-1.0,-1
2026-05-11 17:15:15-04:00,1.367635,1.36779,1.36763,1.367745,-1.0,-1.0,-1
2026-05-11 17:15:20-04:00,1.367745,1.36778,1.36774,1.36775,-1.0,-1.0,-1
2026-05-11 17:15:25-04:00,1.36775,1.36775,1.367745,1.36775,-1.0,-1.0,-1
2026-05-11 17:15:30-04:00,1.36775,1.36778,1.367745,1.36778,-1.0,-1.0,-1
2026-05-11 17:15:35-04:00,1.36778,1.367785,1.367775,1.367785,-1.0,-1.0,-1
2026-05-11 17:15:40-04:00,1.367785,1.367785,1.36778,1.367785,-1.0,-1.0,-1
2026-05-11 17:15:45-04:00,1.367785,1.367785,1.36778,1.367785,-1.0,-1.0,-1
2026-05-11 17:15:50-04:00,1.367785,1.367785,1.36778,1.367785,-1.0,-1.0,-1
2026-05-11 17:15:55-04:00,1.367785,1.367785,1.36778,1.367785,-1.0,-1.0,-1
2026-05-11 17:16:00-04:00,1.367785,1.367785,1.36778,1.367785,-1.0,-1.0,-1
2026-05-11 17:16:05-04:00,1.367785,1.367785,1.36773,1.36775,-1.0,-1.0,-1
2026-05-11 17:16:10-04:00,1.36775,1.36775,1.367745,1.36775,-1.0,-1.0,-1
2026-05-11 17:16:15-04:00,1.36775,1.36775,1.367745,1.36775,-1.0,-1.0,-1
2026-05-11 17:16:20-04:00,1.36775,1.36775,1.36774,1.367745,-1.0,-1.0,-1
2026-05-11 17:16:25-04:00,1.367745,1.367745,1.36774,1.367745,-1.0,-1.0,-1
2026-05-11 17:16:30-04:00,1.367745,1.367745,1.36774,1.367745,-1.0,-1.0,-1
2026-05-11 17:16:35-04:00,1.367745,1.367745,1.36774,1.367745,-1.0,-1.0,-1
2026-05-11 17:16:40-04:00,1.367745,1.367745,1.36774,1.367745,-1.0,-1.0,-1
2026-05-11 17:16:45-04:00,1.367745,1.367745,1.36774,1.367745,-1.0,-1.0,-1
2026-05-11 17:16:50-04:00,1.367745,1.367745,1.36774,1.367745,-1.0,-1.0,-1
2026-05-11 17:16:55-04:00,1.367745,1.367745,1.367735,1.367745,-1.0,-1.0,-1
2026-05-11 17:17:00-04:00,1.367745,1.367745,1.36774,1.367745,-1.0,-1.0,-1
2026-05-11 17:17:05-04:00,1.367745,1.367745,1.36774,1.367745,-1.0,-1.0,-1
2026-05-11 17:17:10-04:00,1.367745,1.36776,1.36774,1.36776,-1.0,-1.0,-1
2026-05-11 17:17:15-04:00,1.36776,1.36776,1.367755,1.367755,-1.0,-1.0,-1
2026-05-11 17:17:20-04:00,1.367755,1.367755,1.367755,1.367755,-1.0,-1.0,-1
2026-05-11 17:17:25-04:00,1.367755,1.367755,1.367755,1.367755,-1.0,-1.0,-1
2026-05-11 17:17:30-04:00,1.367755,1.367755,1.367755,1.367755,-1.0,-1.0,-1
2026-05-11 17:17:35-04:00,1.367755,1.367755,1.367755,1.367755,-1.0,-1.0,-1
2026-05-11 17:17:40-04:00,1.367755,1.367755,1.367755,1.367755,-1.0,-1.0,-1
2026-05-11 17:17:45-04:00,1.367755,1.367755,1.367755,1.367755,-1.0,-1.0,-1
2026-05-11 17:17:50-04:00,1.367755,1.367755,1.367755,1.367755,-1.0,-1.0,-1
2026-05-11 17:17:55-04:00,1.367755,1.367755,1.367755,1.367755,-1.0,-1.0,-1
2026-05-11 17:18:00-04:00,1.367755,1.367755,1.367755,1.367755,-1.0,-1.0,-1
2026-05-11 17:18:05-04:00,1.367755,1.367755,1.367755,1.367755,-1.0,-1.0,-1
2026-05-11 17:18:10-04:00,1.367755,1.367755,1.367755,1.367755,-1.0,-1.0,-1
2026-05-11 17:18:15-04:00,1.367755,1.367755,1.367755,1.367755,-1.0,-1.0,-1
2026-05-11 17:18:20-04:00,1.367755,1.367755,1.367755,1.367755,-1.0,-1.0,-1
2026-05-11 17:18:25-04:00,1.367755,1.367755,1.367755,1.367755,-1.0,-1.0,-1
2026-05-11 17:18:30-04:00,1.367755,1.367755,1.367755,1.367755,-1.0,-1.0,-1
2026-05-11 17:18:35-04:00,1.367755,1.367755,1.367755,1.367755,-1.0,-1.0,-1
2026-05-11 17:18:40-04:00,1.367755,1.367755,1.367755,1.367755,-1.0,-1.0,-1
2026-05-11 17:18:45-04:00,1.367755,1.367755,1.367755,1.367755,-1.0,-1.0,-1
2026-05-11 17:18:50-04:00,1.367755,1.367755,1.367755,1.367755,-1.0,-1.0,-1
2026-05-11 17:18:55-04:00,1.367755,1.367755,1.367755,1.367755,-1.0,-1.0,-1
2026-05-11 17:19:00-04:00,1.367755,1.367755,1.367755,1.367755,-1.0,-1.0,-1
2026-05-11 17:19:05-04:00,1.367755,1.367755,1.367755,1.367755,-1.0,-1.0,-1
2026-05-11 17:19:10-04:00,1.367755,1.36779,1.367725,1.367755,-1.0,-1.0,-1
2026-05-11 17:19:15-04:00,1.367755,1.367755,1.36774,1.367745,-1.0,-1.0,-1
2026-05-11 17:19:20-04:00,1.367745,1.367745,1.367735,1.36774,-1.0,-1.0,-1
2026-05-11 17:19:25-04:00,1.36774,1.36774,1.367735,1.36774,-1.0,-1.0,-1
2026-05-11 17:19:30-04:00,1.36774,1.36774,1.367735,1.36774,-1.0,-1.0,-1
2026-05-11 17:19:35-04:00,1.36774,1.36774,1.367735,1.36774,-1.0,-1.0,-1
2026-05-11 17:19:40-04:00,1.36774,1.36774,1.367735,1.36774,-1.0,-1.0,-1
2026-05-11 17:19:45-04:00,1.36774,1.36774,1.367735,1.36774,-1.0,-1.0,-1
2026-05-11 17:19:50-04:00,1.36774,1.36774,1.367735,1.36774,-1.0,-1.0,-1
2026-05-11 17:19:55-04:00,1.36774,1.36774,1.367735,1.36774,-1.0,-1.0,-1
2026-05-11 17:20:00-04:00,1.36774,1.36774,1.367735,1.36774,-1.0,-1.0,-1
2026-05-11 17:20:05-04:00,1.36774,1.36774,1.367735,1.36774,-1.0,-1.0,-1
