open,high,low,close,volume,average,barCount
1.37784,1.37791,1.37771,1.37771,-1.0,-1.0,-1
1.37771,1.37771,1.37771,1.37771,-1.0,-1.0,-1
1.37771,1.37793,1.37771,1.37787,-1.0,-1.0,-1
1.37787,1.37787,1.37785,1.37785,-1.0,-1.0,-1
1.37785,1.37785,1.37785,1.37785,-1.0,-1.0,-1
1.37785,1.37785,1.37785,1.37785,-1.0,-1.0,-1
1.37785,1.37785,1.37785,1.37785,-1.0,-1.0,-1
1.37785,1.37785,1.37785,1.37785,-1.0,-1.0,-1
1.37785,1.37785,1.37785,1.37785,-1.0,-1.0,-1
1.37785,1.37785,1.37785,1.37785,-1.0,-1.0,-1
1.37785,1.37785,1.37785,1.37785,-1.0,-1.0,-1
1.37785,1.37785,1.37785,1.37785,-1.0,-1.0,-1
1.37785,1.37785,1.37785,1.37785,-1.0,-1.0,-1
1.37785,1.37785,1.37785,1.37785,-1.0,-1.0,-1
1.37785,1.37785,1.37785,1.37785,-1.0,-1.0,-1
1.37785,1.37785,1.37785,1.37785,-1.0,-1.0,-1
1.37785,1.37785,1.37785,1.37785,-1.0,-1.0,-1
1.37785,1.37785,1.37785,1.37785,-1.0,-1.0,-1
1.37785,1.37785,1.37785,1.37785,-1.0,-1.0,-1
1.37785,1.37785,1.37785,1.37785,-1.0,-1.0,-1
1.37785,1.37785,1.37785,1.37785,-1.0,-1.0,-1
1.37785,1.37785,1.37785,1.37785,-1.0,-1.0,-1
1.37785,1.37785,1.37785,1.37785,-1.0,-1.0,-1
1.37785,1.37785,1.37785,1.37785,-1.0,-1.0,-1
1.37785,1.37785,1.37785,1.37785,-1.0,-1.0,-1
1.37785,1.37785,1.37785,1.37785,-1.0,-1.0,-1
1.37785,1.37785,1.37785,1.37785,-1.0,-1.0,-1
1.37785,1.37785,1.37785,1.37785,-1.0,-1.0,-1
1.37785,1.37785,1.37785,1.37785,-1.0,-1.0,-1
1.37785,1.37785,1.37785,1.37785,-1.0,-1.0,-1
1.37785,1.37785,1.37785,1.37785,-1.0,-1.0,-1
1.37785,1.37785,1.37785,1.37785,-1.0,-1.0,-1
1.37785,1.37785,1.37785,1.37785,-1.0,-1.0,-1
1.37785,1.37785,1.37785,1.37785,-1.0,-1.0,-1
1.37785,1.37785,1.37785,1.37785,-1.0,-1.0,-1
1.37785,1.37785,1.37785,1.37785,-1.0,-1.0,-1
1.37785,1.37785,1.37785,1.37785,-1.0,-1.0,-1
1.37785,1.37785,1.37785,1.37785,-1.0,-1.0,-1
1.37785,1.37785,1.37785,1.37785,-1.0,-1.0,-1
1.37785,1.37785,1.37785,1.37785,-1.0,-1.0,-1
1.37785,1.37785,1.37785,1.37785,-1.0,-1.0,-1
1.37785,1.37785,1.37785,1.37785,-1.0,-1.0,-1
1.37785,1.37785,1.37785,1.37785,-1.0,-1.0,-1
1.37785,1.37785,1.37785,1.37785,-1.0,-1.0,-1
1.37785,1.37785,1.37785,1.37785,-1.0,-1.0,-1
1.37785,1.37785,1.37785,1.37785,-1.0,-1.0,-1
1.37785,1.37785,1.37785,1.37785,-1.0,-1.0,-1
1.37785,1.37785,1.37785,1.37785,-1.0,-1.0,-1
1.37785,1.37785,1.37785,1.37785,-1.0,-1.0,-1
1.37785,1.37785,1.37785,1.37785,-1.0,-1.0,-1
1.37785,1.37785,1.37785,1.37785,-1.0,-1.0,-1
1.37785,1.37785,1.37785,1.37785,-1.0,-1.0,-1
1.37785,1.37785,1.37785,1.37785,-1.0,-1.0,-1
1.37785,1.37785,1.37785,1.37785,-1.0,-1.0,-1
1.37785,1.37785,1.37785,1.37785,-1.0,-1.0,-1
1.37785,1.37785,1.37785,1.37785,-1.0,-1.0,-1
1.37785,1.37785,1.37785,1.37785,-1.0,-1.0,-1
1.37785,1.37785,1.37785,1.37785,-1.0,-1.0,-1
1.37785,1.37785,1.37785,1.37785,-1.0,-1.0,-1
1.37785,1.37785,1.37785,1.37785,-1.0,-1.0,-1
1.37785,1.37785,1.37785,1.37785,-1.0,-1.0,-1
1.37785,1.37785,1.37785,1.37785,-1.0,-1.0,-1
1.37785,1.37785,1.37785,1.37785,-1.0,-1.0,-1
1.37785,1.37785,1.37785,1.37785,-1.0,-1.0,-1
1.37785,1.37785,1.37785,1.37785,-1.0,-1.0,-1
1.37785,1.37785,1.37785,1.37785,-1.0,-1.0,-1
1.37785,1.37785,1.37785,1.37785,-1.0,-1.0,-1
1.37785,1.37785,1.37785,1.37785,-1.0,-1.0,-1
1.37785,1.37785,1.37785,1.37785,-1.0,-1.0,-1
1.37785,1.37785,1.37785,1.37785,-1.0,-1.0,-1
1.37785,1.37785,1.37785,1.37785,-1.0,-1.0,-1
1.37785,1.37785,1.37785,1.37785,-1.0,-1.0,-1
1.37785,1.37785,1.37785,1.37785,-1.0,-1.0,-1
1.37785,1.37785,1.37785,1.37785,-1.0,-1.0,-1
1.37785,1.37785,1.37785,1.37785,-1.0,-1.0,-1
1.37785,1.37785,1.37785,1.37785,-1.0,-1.0,-1
1.37785,1.37785,1.37785,1.37785,-1.0,-1.0,-1
1.37785,1.37785,1.37785,1.37785,-1.0,-1.0,-1
1.37785,1.37785,1.37785,1.37785,-1.0,-1.0,-1
1.37785,1.37785,1.37785,1.37785,-1.0,-1.0,-1
1.37785,1.37785,1.37785,1.37785,-1.0,-1.0,-1
1.37785,1.37785,1.37785,1.37785,-1.0,-1.0,-1
1.37785,1.37785,1.37785,1.37785,-1.0,-1.0,-1
1.37785,1.37785,1.37785,1.37785,-1.0,-1.0,-1
1.37785,1.37785,1.37785,1.37785,-1.0,-1.0,-1
1.37785,1.37785,1.37785,1.37785,-1.0,-1.0,-1
1.37785,1.37785,1.37785,1.37785,-1.0,-1.0,-1
1.37785,1.37785,1.37785,1.37785,-1.0,-1.0,-1
1.37785,1.37785,1.37785,1.37785,-1.0,-1.0,-1
1.37785,1.37785,1.37785,1.37785,-1.0,-1.0,-1
1.37785,1.37785,1.37785,1.37785,-1.0,-1.0,-1
1.37785,1.37785,1.37785,1.37785,-1.0,-1.0,-1
1.37785,1.37785,1.37785,1.37785,-1.0,-1.0,-1
1.37785,1.37785,1.37785,1.37785,-1.0,-1.0,-1
1.37785,1.37785,1.37785,1.37785,-1.0,-1.0,-1
1.37785,1.37785,1.37785,1.37785,-1.0,-1.0,-1
1.37785,1.37785,1.37785,1.37785,-1.0,-1.0,-1
1.37785,1.37785,1.37785,1.37785,-1.0,-1.0,-1
1.37785,1.37785,1.37785,1.37785,-1.0,-1.0,-1
1.37785,1.37785,1.37785,1.37785,-1.0,-1.0,-1
1.37785,1.37785,1.37785,1.37785,-1.0,-1.0,-1
1.37785,1.37785,1.37785,1.37785,-1.0,-1.0,-1
1.37785,1.37785,1.37785,1.37785,-1.0,-1.0,-1
1.37785,1.37787,1.37785,1.377865,-1.0,-1.0,-1
1.377865,1.377865,1.377865,1.377865,-1.0,-1.0,-1
1.377865,1.377865,1.377865,1.377865,-1.0,-1.0,-1
1.377865,1.377865,1.377865,1.377865,-1.0,-1.0,-1
1.377865,1.377865,1.377865,1.377865,-1.0,-1.0,-1
1.377865,1.377865,1.377865,1.377865,-1.0,-1.0,-1
1.377865,1.377865,1.377865,1.377865,-1.0,-1.0,-1
1.377865,1.377865,1.377855,1.377855,-1.0,-1.0,-1
1.377855,1.377855,1.377855,1.377855,-1.0,-1.0,-1
1.377855,1.377855,1.377855,1.377855,-1.0,-1.0,-1
1.377855,1.377855,1.377855,1.377855,-1.0,-1.0,-1
1.377855,1.377855,1.377855,1.377855,-1.0,-1.0,-1
1.377855,1.377855,1.377855,1.377855,-1.0,-1.0,-1
1.377855,1.377855,1.377855,1.377855,-1.0,-1.0,-1
1.377855,1.377855,1.377855,1.377855,-1.0,-1.0,-1
1.377855,1.377865,1.377855,1.377865,-1.0,-1.0,-1
1.377865,1.377865,1.377865,1.377865,-1.0,-1.0,-1
1.377865,1.377865,1.377865,1.377865,-1.0,-1.0,-1
1.377865,1.377865,1.377865,1.377865,-1.0,-1.0,-1
1.377865,1.377865,1.377865,1.377865,-1.0,-1.0,-1
1.377865,1.37787,1.377865,1.37787,-1.0,-1.0,-1
1.37787,1.37787,1.37787,1.37787,-1.0,-1.0,-1
1.37787,1.37787,1.37787,1.37787,-1.0,-1.0,-1
1.37787,1.37787,1.377865,1.377865,-1.0,-1.0,-1
1.377865,1.377865,1.377855,1.377855,-1.0,-1.0,-1
1.377855,1.377855,1.377855,1.377855,-1.0,-1.0,-1
1.377855,1.377855,1.377855,1.377855,-1.0,-1.0,-1
1.377855,1.377855,1.377855,1.377855,-1.0,-1.0,-1
1.377855,1.377855,1.377855,1.377855,-1.0,-1.0,-1
1.377855,1.377855,1.377855,1.377855,-1.0,-1.0,-1
1.377855,1.377855,1.377855,1.377855,-1.0,-1.0,-1
1.377855,1.377855,1.377855,1.377855,-1.0,-1.0,-1
1.377855,1.377855,1.377855,1.377855,-1.0,-1.0,-1
1.377855,1.377855,1.377855,1.377855,-1.0,-1.0,-1
1.377855,1.377855,1.377855,1.377855,-1.0,-1.0,-1
1.377855,1.377855,1.377855,1.377855,-1.0,-1.0,-1
1.377855,1.377855,1.377855,1.377855,-1.0,-1.0,-1
1.377855,1.377855,1.377855,1.377855,-1.0,-1.0,-1
1.377855,1.377855,1.377855,1.377855,-1.0,-1.0,-1
1.377855,1.377855,1.377855,1.377855,-1.0,-1.0,-1
1.377855,1.377855,1.377855,1.377855,-1.0,-1.0,-1
1.377855,1.377855,1.377855,1.377855,-1.0,-1.0,-1
1.377855,1.377855,1.377855,1.377855,-1.0,-1.0,-1
1.377855,1.377855,1.377855,1.377855,-1.0,-1.0,-1
1.377855,1.377855,1.377855,1.377855,-1.0,-1.0,-1
1.377855,1.377855,1.377855,1.377855,-1.0,-1.0,-1
1.377855,1.377855,1.377855,1.377855,-1.0,-1.0,-1
1.377855,1.377855,1.377855,1.377855,-1.0,-1.0,-1
1.377855,1.377855,1.377855,1.377855,-1.0,-1.0,-1
1.377855,1.377855,1.377855,1.377855,-1.0,-1.0,-1
